"Feature/Function
(Category)","Test Area 
(Test ID)","Test Case (Description)
Execution","Precondition
(Inputs)",Test Procedures (Steps),Expected Results,Created By,"Actual Results
(Observed Outputs)",JIRA ID #,Comments,Tested by,
General,DPS_BLE_only-1,Flash the tag with new FW,Tag is Unpaired with Star,Download the V41.1.118 FW from the production tool and  flash it on the tag,"1. check the tag is entering the  BLE.
2.verify the default setting as per the spec.
",Sagar,pass,,,,Already covered in main test plan
General,DPS_BLE_only-2,"Flash the tag with new FW, verify the Factory sleep by key press",Tag is Unpaired with Star,pess and hold the any key for more the 5 sec,when press and hold the key the led should blink is reverse order and tage should enter into factory sleep.,Sagar,pass,,,,Already covered in main test plan
General,DPS_BLE_only-3,"Flash the tag with new FW, verify the Inventory sleep",Tag is Unpaired with Star,"1. using mobile application send the inventery sleep command.
2. after sending the command wake up the tage by pressing the key press",after sending the command and after waking up led should blink in forword direction,Sagar,pass,,,,Already covered in main test plan
General,DPS_BLE_only-4,"Flash the tag with new FW, switching from Orion and Pegasus platform by BLE",Tag is Unpaired with Star,"1. set a tag to BLE mode by key press.
2. send a switch to Pegasus platform command bu  the mobile application.
3. again set a tag to BLE mode by key press","1.check the tage is entering the  BLE.
2.verify the default setting as per the spec.
3. verify the version number, key press and voltage displayed properly in mobile application",Sagar,pass,,,,Already covered in main test plan
General,DPS_BLE_only-5,"switching from Orion and Pegasus platform by BLE, verify the Inventory sleep",Tag is Unpaired with Star,"1. using mobile application send the inventery sleep command.
2. after sending the command wake up the tage by pressing the key press",after sending the command and after waking up led should blink in forword direction,Sagar,pass,,,,Already covered in main test plan
General,DPS_BLE_only-6,"verify the FW, MF and tag ID",Tag is Unpaired with Star,"1.Set the tag in Virging Active state.
2. Disable TX for Stars though Set RF RX / TX state command.
3. Record the Pagerequest in Sniffer",check the data in the sniffer is show properly in sniffer,Sagar,pass,,,,Already covered in main test plan
Virgin Active state after flashing,DPS_BLE_only-7,"Virgin Active state, aggressive page request (4 request) with 1.5 sec interval in both platform",Tag is Unpaired with Star,"1.Set the tag in Virging Active state.
2. Disable TX for Stars though Set RF RX / TX state command.
3. Record the Pagerequest in Sniffer",Tag will start sending aggressive page request (4 request) with 1.5 sec interval in both Orion and Pegasus platform.,Sagar,pass,,,,
Virgin Active state after flashing,DPS_BLE_only-8, Virgin Active state 3xRF active page request,Tag is Unpaired with Star,"1.Set the tag in Virging Active state.
2. Disable TX for Stars though Set RF RX / TX state command.
3. Record the Pagerequest in Sniffer and Core server","1.Tag will start sending page request (3 set) with 24.5+6 sec interval in both Orion and Pegasus platform.
2. 1set = (24.5sec+6sec)",Sagar,pass,,,,
Virgin Active state after flashing,DPS_BLE_only-9,"Virgin active state, tag  receives Only BLE profile no change in platform and state.",Tag is Unpaired with Star,"1.Set the tag in Virging Active state.
2. Disable TX for Stars though Set RF RX / TX state command.
3. send the BLE only command through mobile application.
4. Record the Pagerequest in Sniffer","1. Tag will get rested.
2.Tag will start sending aggressive page request (4 request) with 1.5sec in last know platform.
3. Tag will start sending page request (1 set) with 24.5+6 sec.n last know platform.
4.Tag will do paging in LastKnowPlatform at 5 min interval+6sec+6sec.",Sagar,pass,,,,
Virgin Active state after flashing,DPS_BLE_only-10,"Virgin active state, when tag is in BLE only mode, apply the motion or key press",Tag is Unpaired with Star,"1.Set the tag in Virging Active state.
2. Disable TX for Stars though Set RF RX / TX state command.
3. send the BLE only command through mobile application.
4. Record the Pagerequest in Sniffer","1. Tag will not get affected.
2. Tag will continue to do paging in LastKnowPlatform at 5 min interval+6sec+6sec.",Sagar,pass,,,,
